Games,Images Path
BlazBlue: Chrono Phantasma Extend,dataset/BlazBlue-Chrono-Phantasma-Extend-Cover/Image_1.png
BlazBlue: Central Fiction,dataset/BlazBlue-Central-Fiction-Cover/Image_1.jpg
BlazBlue: Cross Tag Battle,dataset/BlazBlue-Cross-Tag-Battle-Cover/Image_1.jpeg
Cyberbots: Fullmetal Madness,dataset/Cyberbots-Fullmetal-Madness-Cover/Image_1.jpg
Figtning Vipers,dataset/Figtning-Vipers-Cover/Image_1.jpg
X-Men: Children of the Atom,dataset/X-Men-Children-of-the-Atom-Cover/Image_1.jpg
Marvel Super Heroes,dataset/Marvel-Super-Heroes-Cover/Image_1.jpg
M.U.G.E.N,dataset/M.U.G.E.N-Cover/Image_1.jpg
Super Gem Fighter Mini Mix,dataset/Super-Gem-Fighter-Mini-Mix-Cover/Image_1.jpg
Pocket Fighter,dataset/Pocket-Fighter-Cover/Image_1.jpg
Namco X Capcom,dataset/Namco-X-Capcom-Cover/Image_1.png
Tatsunoko Vs Capcom: Ultimate All-Stars,dataset/Tatsunoko-Vs-Capcom-Ultimate-All-Stars-Cover/Image_1.jpg
Primal Rage,dataset/Primal-Rage-Cover/Image_1.png
Figthing EX Layer,dataset/Figthing-EX-Layer-Cover/Image_1.jpg
DNF Duel,dataset/DNF-Duel-Cover/Image_1.jpg
Tatsunko Vs Capcom: Cross Generation of Heroes,dataset/Tatsunko-Vs-Capcom-Cross-Generation-of-Heroes-Cover/Image_1.jpg
Tatsunoko Fighting,dataset/Tatsunoko-Fighting-Cover/Image_1.png
Power Rangers: Battle for the Grid,dataset/Power-Rangers-Battle-for-the-Grid-Cover/Image_1.png
